@RELATION model
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {not_sick,sick}

@DATA
0.030437,0.033031,3.023476,0.092828,0.151482,0.163552,0.019139,0.040553,-26.482529,2.164062,-0.273503,0.014759,-0.098244,0.111588,-0.342188,-0.092345,-0.043873,0.125293,0.217665,0.165434,0.066743,0.009331,0.003070,0.023258,0.015376,0.031128,0.027381,0.044952,0.002429,0.014072,0.032991,0.019078,0.006097,0.033208,-0.000061,0.001801,0.004179,-0.000111,-0.000520,0.001133,0.000357,-0.000174,0.025100,-0.011495,0.026953,-0.011008,-0.001088,0.003981,-0.005182,0.002524,-0.005793,0.001791,-0.000206,0.008718,-0.000191,-0.000021,-0.000005,-0.000014,-0.000045,0.000007,-0.001399,0.001159,-0.000002,0.000082,-0.000004,-0.000028,-0.000010,-0.000166,0.017526,0.042093,0.350258,0.027106,0.037925,0.186681,0.017251,0.026154,1.836552,0.972398,0.609064,0.460356,0.462563,0.473212,0.387765,0.351188,0.398150,0.310947,0.294683,0.269144,0.261857,0.015846,0.005456,0.023616,0.024675,0.035709,0.044730,0.043336,0.003021,0.022371,0.038834,0.021971,0.008263,0.015911,0.015532,0.044004,0.510809,0.033548,0.048145,0.182936,0.019002,0.025166,1.530411,0.740173,0.478434,0.382230,0.382858,0.477463,0.350019,0.298972,0.308872,0.352324,0.303594,0.294252,0.274498,0.019867,0.005385,0.027850,0.020921,0.048381,0.041101,0.053182,0.003239,0.030956,0.032557,0.027443,0.010950,0.015107,not_sick
0.083403,0.002128,3.018183,0.113035,0.094965,0.810714,0.003308,0.143775,-42.757272,0.425895,0.047544,-0.032380,-0.098200,0.033872,-0.110964,-0.121883,-0.076501,-0.183627,-0.033250,-0.029297,-0.074129,0.005708,0.002123,0.006799,0.014513,0.094710,0.004323,0.005050,0.001230,0.002410,0.004330,0.003895,0.002312,0.029796,-0.000622,-0.000007,0.000636,-0.001451,-0.001876,-0.003011,0.000000,-0.000835,-0.228279,-0.019172,-0.003043,-0.003267,-0.000541,-0.012988,0.001428,-0.001935,-0.004450,0.008207,0.000373,-0.001485,0.002679,-0.000352,-0.000015,-0.000357,-0.000026,0.001356,-0.000089,-0.000250,-0.000013,-0.000020,-0.000131,-0.000286,-0.000017,0.000322,0.043124,0.003568,0.219774,0.038101,0.025213,0.389372,0.010718,0.080504,2.763150,0.284558,0.190934,0.134310,0.138291,0.170986,0.141940,0.125897,0.099509,0.188893,0.107572,0.092094,0.102425,0.006253,0.002011,0.005561,0.022890,0.022484,0.003740,0.004018,0.001286,0.002113,0.003921,0.004114,0.002392,0.009573,0.025646,0.002150,0.306741,0.025816,0.015411,0.244189,0.015083,0.063485,1.435807,0.275446,0.253931,0.173870,0.154820,0.185680,0.175188,0.135252,0.124872,0.136165,0.120429,0.119432,0.133614,0.008390,0.002513,0.007128,0.021379,0.016524,0.004169,0.004153,0.001619,0.002125,0.004930,0.004278,0.002542,0.007546,not_sick
0.080334,0.007042,3.080480,0.130456,0.141981,0.650357,0.006685,0.114183,-27.975730,0.958682,-1.196545,-0.344564,-0.448124,-0.138142,-0.068389,-0.100296,-0.019029,0.092882,0.012826,-0.059362,-0.078404,0.012175,0.010171,0.011998,0.008962,0.009698,0.007926,0.012728,0.009564,0.011798,0.013624,0.013346,0.008953,0.010736,-0.000050,0.000538,0.000271,-0.000132,-0.000087,-0.001120,0.000019,-0.000003,0.075968,0.008515,-0.003353,-0.005698,0.005968,-0.003963,0.000241,-0.000657,0.004955,-0.002458,-0.002712,0.000494,-0.000523,0.000008,-0.000064,0.000040,0.000080,-0.000073,-0.000028,-0.000174,0.000014,-0.000100,0.000077,-0.000000,0.000172,-0.000011,0.024572,0.010203,0.358374,0.021145,0.022987,0.257149,0.004139,0.048207,1.866832,0.442585,0.313652,0.331393,0.232326,0.314134,0.223500,0.223789,0.198142,0.236616,0.206066,0.170921,0.169446,0.013623,0.011660,0.009667,0.009680,0.007647,0.005254,0.009725,0.012573,0.010984,0.011196,0.012844,0.009263,0.006415,0.020903,0.008054,0.503312,0.021087,0.027428,0.271071,0.005481,0.053845,1.199506,0.434961,0.333020,0.309601,0.286917,0.350280,0.236942,0.250358,0.257833,0.261663,0.237613,0.211078,0.203056,0.016830,0.016340,0.011395,0.012012,0.009986,0.007834,0.014072,0.017574,0.013653,0.015272,0.012470,0.012006,0.007359,not_sick
0.066248,0.052083,3.051343,0.100054,0.115644,0.616952,0.013757,0.102494,-25.235505,0.323689,-0.010409,-0.578039,-0.418203,-0.023846,-0.203884,-0.149921,-0.174934,0.104451,0.100291,0.244305,-0.037525,0.008329,0.007005,0.005511,0.004704,0.009497,0.016005,0.025062,0.007692,0.017248,0.009308,0.007199,0.007095,0.016476,-0.000124,-0.000245,-0.006817,-0.000341,-0.000168,-0.002851,0.000056,-0.000160,-0.022507,0.013381,0.008645,0.003856,-0.019427,-0.008585,-0.001394,0.008608,0.013532,-0.000302,-0.004549,-0.004507,-0.004180,0.001164,0.000372,-0.000007,-0.000012,-0.000019,-0.000191,-0.000767,-0.000376,-0.000319,0.000022,-0.000009,0.000737,0.000132,0.024944,0.043487,0.414835,0.020197,0.038752,0.308071,0.013432,0.036339,2.596474,0.914846,0.683493,0.545526,0.415330,0.425673,0.324996,0.350737,0.378382,0.326483,0.311247,0.298977,0.249596,0.013212,0.008222,0.005840,0.005166,0.013701,0.026220,0.034879,0.014491,0.020762,0.012996,0.010164,0.010614,0.013286,0.022098,0.039281,0.556020,0.028150,0.052979,0.304093,0.013454,0.033459,1.850934,1.031824,0.616998,0.492935,0.441099,0.422138,0.370018,0.324306,0.345105,0.358179,0.338460,0.338156,0.272657,0.012370,0.007647,0.007764,0.007242,0.017735,0.034840,0.042627,0.019084,0.028070,0.014926,0.013594,0.011502,0.015609,not_sick
0.043426,0.000621,3.160537,0.056052,0.068208,0.412095,0.007249,0.066207,-38.712527,0.289806,0.038430,-0.060786,-0.012732,-0.020377,0.024589,0.004365,-0.017555,0.003525,-0.004068,-0.001547,-0.008595,0.004780,0.002483,0.009317,0.004685,0.089952,0.004167,0.007705,0.002674,0.003899,0.005251,0.007938,0.002467,0.026036,-0.000676,-0.000001,0.000560,-0.000997,-0.001318,-0.006619,0.000000,-0.001252,-0.211251,-0.004295,0.005549,0.004122,-0.000887,-0.003232,-0.004165,-0.002338,-0.003241,-0.003497,-0.004760,-0.003560,-0.001683,-0.000101,-0.000025,-0.000097,-0.000055,0.001383,-0.000081,-0.000129,-0.000159,-0.000042,-0.000055,-0.000178,-0.000078,0.000391,0.012679,0.001476,0.221246,0.012963,0.022702,0.135862,0.017381,0.017132,2.682282,0.382698,0.256183,0.165768,0.117979,0.114926,0.104430,0.097166,0.108653,0.097701,0.116395,0.084127,0.091443,0.003762,0.001939,0.010335,0.003240,0.018155,0.002596,0.006258,0.002302,0.002988,0.004022,0.006748,0.001952,0.004606,0.008298,0.001905,0.290416,0.009371,0.022853,0.109061,0.020762,0.014215,1.449305,0.365942,0.278844,0.184911,0.150393,0.160869,0.141516,0.132101,0.144820,0.155413,0.161293,0.116617,0.124819,0.004630,0.002700,0.012726,0.003484,0.012207,0.003427,0.007469,0.002442,0.003482,0.005384,0.006446,0.002682,0.003649,not_sick
0.061407,0.022085,3.132385,0.129986,0.160390,0.445702,0.006715,0.090133,-24.221355,2.190043,-0.160403,0.055312,-0.006505,0.330920,0.077584,-0.144026,-0.186901,-0.139458,-0.051785,0.048103,-0.161744,0.009849,0.007647,0.032608,0.024799,0.026238,0.016584,0.022554,0.004179,0.018072,0.018670,0.028982,0.002164,0.023681,-0.000574,0.000148,-0.000255,-0.000461,0.000153,-0.007409,0.000226,-0.000890,0.013831,0.018535,-0.007635,-0.000739,0.001938,-0.004155,-0.004275,0.005673,0.001810,-0.002569,-0.001258,0.002359,0.004252,0.000021,0.000022,-0.000028,-0.000010,0.000285,0.000231,0.000102,0.000061,-0.000284,-0.000437,0.000343,0.000006,0.000039,0.034618,0.013768,0.123276,0.035772,0.023845,0.353998,0.003685,0.070213,1.372560,0.723853,0.580015,0.425636,0.361459,0.450524,0.352841,0.306344,0.313147,0.258077,0.265791,0.210967,0.218503,0.008141,0.009141,0.030336,0.021097,0.025233,0.022466,0.017807,0.005962,0.023649,0.016045,0.022845,0.001860,0.008829,0.028439,0.012643,0.153688,0.031063,0.027853,0.289117,0.003742,0.062992,1.147430,0.618781,0.486963,0.407072,0.363939,0.392434,0.314176,0.317990,0.301829,0.266056,0.265076,0.247949,0.266496,0.010989,0.010908,0.033149,0.025982,0.024662,0.026988,0.022578,0.007571,0.021719,0.018662,0.024774,0.002373,0.010291,not_sick
0.195377,0.003426,2.934640,0.228580,0.198484,1.582397,0.003266,0.331234,-28.297178,1.345786,0.212854,0.430003,0.011138,0.275400,-0.020190,0.035291,0.131687,0.094895,0.031285,0.084479,0.122314,0.006879,0.002589,0.027994,0.009233,0.019915,0.004749,0.015194,0.001677,0.004380,0.008138,0.018268,0.003336,0.011188,0.001833,0.000002,0.017398,0.000121,-0.000117,0.004824,0.000009,0.000009,0.015029,-0.001832,-0.005491,-0.002441,-0.000777,0.003656,-0.000406,-0.005360,-0.000780,-0.003026,0.001317,-0.001359,0.002828,-0.000092,-0.000003,-0.000418,0.000046,-0.000124,0.000008,-0.000420,0.000003,-0.000006,-0.000065,-0.000018,-0.000006,-0.000095,0.044594,0.007255,0.418389,0.034173,0.018925,0.308104,0.002829,0.051451,1.409429,0.364103,0.480643,0.322216,0.274260,0.311229,0.208168,0.263008,0.174479,0.226271,0.219353,0.153477,0.160062,0.005085,0.002838,0.019963,0.005148,0.015510,0.003834,0.009079,0.001112,0.005110,0.006537,0.011972,0.003098,0.005417,0.047966,0.007698,0.599090,0.041104,0.024798,0.341906,0.002931,0.061906,1.746802,0.509706,0.572892,0.435595,0.301682,0.392177,0.293957,0.384740,0.253145,0.308101,0.286240,0.205641,0.236160,0.006872,0.003243,0.028364,0.007271,0.023010,0.005352,0.012890,0.001574,0.007257,0.009595,0.016611,0.004324,0.007475,not_sick
0.057264,0.000661,2.770964,0.101117,0.123294,0.578954,0.007491,0.091951,-30.638193,1.308412,0.293246,0.401747,0.136775,0.226052,0.054403,0.032228,0.106836,0.072533,-0.010568,0.084176,-0.025719,0.011499,0.003642,0.055926,0.006152,0.017976,0.005544,0.059205,0.002600,0.004930,0.010800,0.043638,0.003731,0.025354,0.000803,0.000000,0.003532,0.000094,-0.000930,0.007247,0.000051,0.001506,0.018764,-0.028633,-0.011030,0.005865,-0.003934,-0.001617,-0.004385,-0.004101,0.000919,-0.003122,-0.002038,-0.001016,-0.001728,0.000003,0.000064,-0.001055,0.000021,-0.000136,-0.000002,-0.000918,0.000024,0.000018,-0.000084,-0.000820,0.000049,-0.000392,0.017926,0.002003,0.515819,0.021005,0.029586,0.243871,0.004726,0.036708,1.177256,0.725426,0.363783,0.274200,0.229380,0.223874,0.187927,0.174461,0.175808,0.167291,0.152218,0.146355,0.152386,0.009472,0.003179,0.035064,0.004904,0.014507,0.004741,0.044091,0.002836,0.004013,0.007590,0.030781,0.002909,0.011945,0.016502,0.002913,0.760888,0.025491,0.038721,0.255346,0.005111,0.036223,1.526940,0.821723,0.427139,0.328574,0.310141,0.267875,0.255855,0.215643,0.234668,0.228123,0.213207,0.203616,0.199043,0.012701,0.004023,0.045066,0.005970,0.018522,0.006200,0.056433,0.003686,0.005170,0.010892,0.038536,0.003648,0.013792,not_sick
0.059596,0.044739,3.054036,0.129224,0.162222,0.358112,0.013709,0.082940,-26.183131,0.330871,-1.707817,-0.188127,-0.477923,0.209437,-0.597929,0.106192,-0.128366,0.054328,0.217148,-0.036531,-0.190579,0.009189,0.014023,0.006913,0.009657,0.009559,0.006671,0.007722,0.013745,0.013878,0.013371,0.008615,0.007395,0.016835,-0.000540,0.003466,0.000197,-0.000096,0.000566,-0.002716,0.000227,-0.000726,0.018578,0.040134,0.011412,-0.023903,0.002145,-0.011823,-0.006514,-0.002137,0.004011,0.003560,-0.001560,0.005656,-0.001174,0.000022,-0.000015,-0.000014,-0.000007,-0.000056,-0.000051,0.000003,-0.000043,0.000056,0.001292,0.000151,-0.000005,0.000311,0.024160,0.056277,0.271824,0.035143,0.033514,0.305316,0.012804,0.051489,2.262798,0.883317,0.676345,0.553928,0.414115,0.379997,0.366371,0.316507,0.415234,0.339330,0.337546,0.277281,0.233361,0.012550,0.016468,0.008188,0.012135,0.016171,0.012848,0.011034,0.023197,0.020376,0.018312,0.012107,0.007814,0.012004,0.018618,0.056788,0.369761,0.035615,0.043801,0.243465,0.015361,0.054548,1.611250,0.831621,0.534007,0.464025,0.418219,0.348186,0.415170,0.349579,0.354465,0.347186,0.313937,0.321359,0.275413,0.014847,0.021335,0.009993,0.014294,0.020003,0.013724,0.013587,0.019674,0.028044,0.022799,0.016028,0.010037,0.012734,not_sick
0.058790,0.016606,2.777757,0.096130,0.124710,0.262784,0.014950,0.074975,-29.231533,0.453034,-0.964927,-0.367247,-0.829977,0.346895,-0.395969,-0.156000,0.090951,-0.175827,0.134717,0.013620,0.001207,0.008045,0.012530,0.009617,0.008008,0.006059,0.009583,0.007771,0.004186,0.006873,0.019842,0.018158,0.007967,0.015916,-0.000260,-0.000172,-0.006457,0.001049,0.001569,0.004441,0.000095,0.000110,-0.130328,-0.015334,0.014269,0.006977,0.012511,0.004497,0.000049,-0.010794,0.001801,0.003841,0.006957,0.005751,0.003876,-0.000050,-0.000132,-0.000085,-0.000042,-0.000003,-0.000026,-0.000008,-0.000019,-0.000003,-0.000001,0.000050,-0.000057,-0.000035,0.021368,0.026804,0.498296,0.025030,0.043930,0.212830,0.011564,0.027559,4.080189,1.297296,0.770208,0.563199,0.508938,0.621596,0.391616,0.392407,0.312190,0.427772,0.308518,0.366349,0.283638,0.008942,0.016986,0.010513,0.012358,0.006467,0.014053,0.011083,0.005961,0.009619,0.037009,0.025234,0.013518,0.012276,0.014829,0.029865,0.669049,0.032346,0.058077,0.203745,0.013584,0.022019,3.028149,1.003409,0.673964,0.523698,0.553867,0.458174,0.445263,0.423936,0.308419,0.381083,0.367737,0.364827,0.338584,0.012069,0.020549,0.012339,0.015416,0.008684,0.016361,0.015131,0.007731,0.011338,0.033915,0.026119,0.015543,0.011528,not_sick
